NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT04216524,"Venetoclax, SL-401, and Chemotherapy for the Treatment of Blastic Plasmacytoid Dendritic Cell Neoplasm",https://clinicaltrials.gov/study/NCT04216524,RECRUITING,Blastic Plasmacytoid Dendritic Cell Neoplasm,DRUG: Cyclophosphamide|DRUG: Cytarabine|DRUG: Dexamethasone|DRUG: Doxorubicin|DRUG: Mercaptopurine|DRUG: Methotrexate|DRUG: Methylprednisolone|DRUG: Prednisone|BIOLOGICAL: Rituximab|BIOLOGICAL: Tagraxofusp-erzs|DRUG: Venetoclax|DRUG: Vincristine,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,2026-12-31
NCT01987609,Effects of Subcutaneous Hyaluronidase Administration on Psoriatic Plaques,https://clinicaltrials.gov/study/NCT01987609,COMPLETED,Psoriasis,DRUG: Hylenex|DRUG: Normal Saline,"Tissa Hata, MD",,INTERVENTIONAL,2018-02
NCT00003993,Bryostatin 1 and Interleukin-2 in Treating Patients With Refractory Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00003993,COMPLETED,"Lymphoma|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: aldesleukin|DRUG: bryostatin 1,National Institute on Aging (NIA),National Cancer Institute (NCI),INTERVENTIONAL,
NCT01671592,Safety of Labeled Dendritic Cell (DC) Vaccines and Feasibility of Tracking by Magnetic Resonance Imaging (MRI),https://clinicaltrials.gov/study/NCT01671592,COMPLETED,"Colorectal Neoplasms|Colorectal Cancer|Colorectal Carcinoma|Colorectal Tumors|Neoplasms, Colorectal",BIOLOGICAL: DC Vaccine,Pawel Kalinski,National Cancer Institute (NCI),INTERVENTIONAL,2014-04
NCT01657734,Multimodal MR Imaging in Patients With Glioblastoma Treated With Dendritic Cell Therapy,https://clinicaltrials.gov/study/NCT01657734,COMPLETED,Malignant Gliomas,OTHER: MR imaging,Universitaire Ziekenhuizen KU Leuven,,OBSERVATIONAL,2016-02-18
NCT00779402,PROvenge Treatment and Early Cancer Treatment,https://clinicaltrials.gov/study/NCT00779402,COMPLETED,Prostate Cancer,OTHER: Control|BIOLOGICAL: Sipuleucel-T,Dendreon,,INTERVENTIONAL,2015-05
NCT00027534,Vaccine Therapy in Treating Patients With Advanced or Metastatic Cancer,https://clinicaltrials.gov/study/NCT00027534,COMPLETED,Breast Cancer|Colorectal Cancer|Gallbladder Cancer|Gastric Cancer|Head and Neck Cancer|Liver Cancer|Ovarian Cancer|Pancreatic Cancer|Testicular Germ Cell Tumor,BIOLOGICAL: TRICOM-CEA(6D),"Michael Morse, MD",National Cancer Institute (NCI),INTERVENTIONAL,2007-10
NCT02859623,Descriptive Study of the Efficacy of Treatments for Blastic Dendritic Cell Neoplasm (BPDCN),https://clinicaltrials.gov/study/NCT02859623,COMPLETED,Blastic Plasmacytoid Dendritic Cell Neoplasm|Hematological Malignancies,,Centre Hospitalier Universitaire de Besancon,,OBSERVATIONAL,
NCT06097793,KSD-101 Therapy for EBV-associated Nasopharyngeal Carcinoma: an Exploratory Clinical Trial,https://clinicaltrials.gov/study/NCT06097793,RECRUITING,Nasopharyngeal Carcinoma,BIOLOGICAL: KSD-101,"Kousai Bio Co., Ltd.",,INTERVENTIONAL,2025-12-31
NCT01697527,Gene and Vaccine Therapy in Treating Patients With Advanced Malignancies,https://clinicaltrials.gov/study/NCT01697527,ACTIVE_NOT_RECRUITING,Malignant Neoplasm,BIOLOGICAL: aldesleukin|DRUG: fludarabine phosphate|DRUG: cyclophosphamide|OTHER: laboratory biomarker analysis|BIOLOGICAL: NY-ESO-1 reactive TCR retroviral vector transduced autologous PBL|BIOLOGICAL: dendritic cell vaccine therapy|RADIATION: fludeoxyglucose F 18|PROCEDURE: positron emission tomography,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,2025-11-02
NCT05920798,A Study of FRaDCs for Ovarian Cancer,https://clinicaltrials.gov/study/NCT05920798,RECRUITING,Fallopian Tube Carcinosarcoma|Primary Peritoneal Carcinosarcoma|Recurrent Fallopian Tube Carcinoma|Recurrent Fallopian Tube Clear Cell Adenocarcinoma|Recurrent Fallopian Tube Endometrioid Adenocarcinoma|Recurrent Fallopian Tube High Grade Serous Adenocarcinoma|Recurrent Ovarian Carcinoma|Recurrent Ovarian Carcinosarcoma|Recurrent Ovarian Clear Cell Adenocarcinoma|Recurrent Ovarian Endometrioid Adenocarcinoma|Recurrent Ovarian High Grade Serous Adenocarcinoma|Recurrent Primary Peritoneal Carcinoma|Recurrent Primary Peritoneal Clear Cell Adenocarcinoma|Recurrent Primary Peritoneal Endometrioid Adenocarcinoma|Recurrent Primary Peritoneal High Grade Serous Adenocarcinoma,PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|BIOLOGICAL: Multi-epitope Folate Receptor Alpha-loaded Dendritic Cell Vaccine|BIOLOGICAL: Pembrolizumab|PROCEDURE: Pheresis,Mayo Clinic,NanoPass Technologies Ltd,INTERVENTIONAL,2027-07-15
NCT00678119,Study Testing the Biologic Activity and Safety of a Immunotherapeutic in Patients With Newly Diagnosed Advanced Stage Kidney Cancer in Combination With a Marketed Renal Cell Carcinoma Treatment,https://clinicaltrials.gov/study/NCT00678119,COMPLETED,Renal Cell Carcinoma,BIOLOGICAL: AGS-003|DRUG: Sunitinib,Argos Therapeutics,,INTERVENTIONAL,2012-05
NCT05000801,Clinical Study of DC-AML Cells in the Treatment of Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT05000801,RECRUITING,Acute Myeloid Leukemia,BIOLOGICAL: DC vaccine,Affiliated Hospital to Academy of Military Medical Sciences,,INTERVENTIONAL,2026-07-01
NCT01884168,Study of Gene Expression Profiling and Immunological Mechanism Affects the Response of Immunotherapy,https://clinicaltrials.gov/study/NCT01884168,COMPLETED,Malignant Tumor,BIOLOGICAL: Dc-CIK immunotherapy,Capital Medical University,,OBSERVATIONAL,2023-05
NCT01781520,Study of S-1 Plus DC-CIK for Patients With Unresectable Locally Advanced Pancreatic Cancer,https://clinicaltrials.gov/study/NCT01781520,COMPLETED,Pancreatic Cancer,BIOLOGICAL: DC-CIK Treatment|DRUG: S1|OTHER: Best supportive care,Capital Medical University,,INTERVENTIONAL,2017-06-13
NCT04166006,A Phase II Study on Adjuvant Vaccination with Dendritic Cells Loaded with Autologous Tumor Homogenate in Resected Stage IV Rare Cancers.,https://clinicaltrials.gov/study/NCT04166006,RECRUITING,Head Neck Tumors|Neuroendocrine Tumors|Soft Tissue Sarcoma|Rare Cancer|Vaccination,BIOLOGICAL: Autologous DC vaccine|DRUG: Interleukin-2,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,,INTERVENTIONAL,2031-12
NCT02533895,Cancer Immune Therapy for the Treatment of Refractory Solid Tumours of Childhood,https://clinicaltrials.gov/study/NCT02533895,COMPLETED,Childhood Solid Tumor,BIOLOGICAL: AV0113 DC-CIT|OTHER: Data evaluation,Activartis Biotech,,INTERVENTIONAL,2015-10
NCT01783951,Study of S-1 Plus DC-CIK for Patients With Advanced Gastric Cancer,https://clinicaltrials.gov/study/NCT01783951,COMPLETED,Gastric Cancer,BIOLOGICAL: DC-CIK|DRUG: S-1|DRUG: Cisplatin,Capital Medical University,Duke University|Geneplus-Beijing Co. Ltd.,INTERVENTIONAL,2018-06-01
NCT01477749,Sipuleucel-T Manufacturing Demonstration Study,https://clinicaltrials.gov/study/NCT01477749,COMPLETED,"Cancer of Prostate|Cancer of the Prostate|Neoplasms, Prostate|Neoplasms, Prostatic|Prostate Cancer|Prostate Neoplasms|Prostatic Cancer",BIOLOGICAL: sipuleucel-T,Dendreon,,INTERVENTIONAL,2014-06
NCT02491697,Immunotherapy Combined With Capecitabine Versus Capecitabine Monotherapy in Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT02491697,ACTIVE_NOT_RECRUITING,Breast Cancer,BIOLOGICAL: DC-CIK Immunotherapy|DRUG: Capecitabine Monotherapy,The First People's Hospital of Changzhou,,INTERVENTIONAL,2033-08
NCT00374049,MUC1 Vaccine in Conjunction With Poly-ICLC in Patients With Recurrent and/or Advanced Prostate Cancer,https://clinicaltrials.gov/study/NCT00374049,COMPLETED,Prostate Cancer,DRUG: MUC_1,Olivera Finn,"Oncovir, Inc.",INTERVENTIONAL,2015-12
NCT05877651,MASCT-I in Patients With Metastatic or Recurrent Solid Tumors Who Failed Standard Therapy.,https://clinicaltrials.gov/study/NCT05877651,COMPLETED,Solid Tumors,BIOLOGICAL: MASCT-I injection,HRYZ Biotech Co.,,INTERVENTIONAL,2021-10-15
NCT02599415,Anti-psoriatic Effect of TL01 Light Therapy,https://clinicaltrials.gov/study/NCT02599415,COMPLETED,Psoriasis,DEVICE: TL01 light treatment,University of Aberdeen,NHS Grampian,INTERVENTIONAL,2014-12
NCT05749627,Using Neoantigen Peptide Vaccine/Neoantigen-based DC to Treat Advanced Malignant Solid Tumors,https://clinicaltrials.gov/study/NCT05749627,RECRUITING,Advanced Malignant Solid Tumors,DRUG: Neoantigen peptide vaccine|DRUG: Neoantigen-based DC immune preparation,The First Affiliated Hospital of Nanchang University,Shanghai Dengding BioAI Co.,INTERVENTIONAL,2025-12-31
NCT00003222,Vaccine Therapy Plus Interleukin-2 in Treating Patients With Stage III or Stage IV Melanoma,https://clinicaltrials.gov/study/NCT00003222,COMPLETED,Melanoma (Skin),BIOLOGICAL: aldesleukin|BIOLOGICAL: gp100 antigen|BIOLOGICAL: incomplete Freund's adjuvant|BIOLOGICAL: sargramostim|BIOLOGICAL: tetanus peptide melanoma vaccine|BIOLOGICAL: tyrosinase peptide,University of Virginia,National Cancer Institute (NCI),INTERVENTIONAL,
NCT01686334,Efficacy Study of Dendritic Cell Vaccination in Patients With Acute Myeloid Leukemia in Remission,https://clinicaltrials.gov/study/NCT01686334,ACTIVE_NOT_RECRUITING,Acute Myeloid Leukemia,BIOLOGICAL: DC vaccine,Zwi Berneman,Kom Op Tegen Kanker|Stichting tegen Kanker|Research Foundation Flanders,INTERVENTIONAL,2027-12
NCT03059485,DC/AML Fusion Cell Vaccine vs Observation in Patients Who Achieve a Chemotherapy-induced Remission,https://clinicaltrials.gov/study/NCT03059485,COMPLETED,Acute Myelogenous Leukemia,BIOLOGICAL: DC/AML Fusion Vaccine|OTHER: Observation,Beth Israel Deaconess Medical Center,Celgene|Dana-Farber Cancer Institute,INTERVENTIONAL,2024-09-23
NCT02686944,A Study to Evaluate the Safety of Intuvax Administered Intra-tumorally in Patients With Gastrointestinal Stromal Tumors,https://clinicaltrials.gov/study/NCT02686944,COMPLETED,Gastrointestinal Stromal Tumor,BIOLOGICAL: Intuvax (ilixadencel),Mendus,,INTERVENTIONAL,2019-05-10
NCT01734304,DC Vaccination for Postremission Therapy in AML,https://clinicaltrials.gov/study/NCT01734304,COMPLETED,Acute Myeloid Leukemia,BIOLOGICAL: DC vaccination for postremission therapy in AML,Ludwig-Maximilians - University of Munich,,INTERVENTIONAL,2018-09-30
NCT06277154,MASCT-I Combined With Doxorubicin and Ifosfamide for First-line Treatment of Advanced Soft Tissue Sarcoma,https://clinicaltrials.gov/study/NCT06277154,NOT_YET_RECRUITING,Leiomyosarcoma|Liposarcoma|Synovial Sarcoma|Angiosarcoma|Undifferentiated Pleomorphic Sarcoma|Epithelioid Sarcoma|Malignant Peripheral Nerve Sheath Tumors|Fibrosarcoma|Pleomorphic Rhabdomyosarcoma|Endometrial Stromal Sarcoma|Desmoplastic Small Round Cell Tumor,BIOLOGICAL: MASCT-I|DRUG: Doxorubicin|DRUG: Ifosfamide,HRYZ Biotech Co.,,INTERVENTIONAL,2027-02
NCT00715078,To Evaluate Sipuleucel-T Manufactured With Different Concentrations of (PA2024) Antigen,https://clinicaltrials.gov/study/NCT00715078,COMPLETED,Prostate Cancer,BIOLOGICAL: sipuleucel-T,Dendreon,,INTERVENTIONAL,2015-05
NCT04834544,A Study of Maintenance DCVAC/OvCa After First-line Chemotherapy Added Standard of Care,https://clinicaltrials.gov/study/NCT04834544,RECRUITING,Epithelial Ovarian Carcinoma|Fallopian Tube Carcinoma|Primary Peritoneal Carcinoma,COMBINATION_PRODUCT: DCVAC/OvCa|COMBINATION_PRODUCT: Placebo,Peking University Third Hospital,SOTIO a.s.,INTERVENTIONAL,2027-04-20
NCT01074840,Understanding How the Immune System Responds to Viruses in Peanut Allergic Children Undergoing Peanut Oral Immunotherapy,https://clinicaltrials.gov/study/NCT01074840,COMPLETED,Peanut Allergy,OTHER: Peanut flour,University of Texas Southwestern Medical Center,,INTERVENTIONAL,2014-08
NCT04948099,A Study of Single and Multiple Ascending Doses of VIB1116 in Rheumatic Diseases,https://clinicaltrials.gov/study/NCT04948099,COMPLETED,Dendritic Cell -Mediated Rheumatic Diseases,DRUG: VIB1116|DRUG: Placebo,Viela Bio (acquired by Horizon Therapeutics),,INTERVENTIONAL,2023-07-03
NCT06471673,A Study of BRIA-OTS Cellular Immunotherapy in Metastatic Recurrent Breast Cancer,https://clinicaltrials.gov/study/NCT06471673,RECRUITING,"Breast Cancer|Breast Tumor|Cancer of Breast|Cancer of the Breast|Malignant Tumor of Breast|Tumors, Breast",BIOLOGICAL: BC1 cell line|BIOLOGICAL: Bria-OTS regimen and CPI (tislelizumab)|BIOLOGICAL: Bria-OTS regimen and CPI (tislelizumab) expansion cohort,BriaCell Therapeutics Corporation,,INTERVENTIONAL,2025-10-30
NCT02334735,A Comparison of Matured Dendritic Cells and Montanide® in Study Subjects With High Risk of Melanoma Recurrence,https://clinicaltrials.gov/study/NCT02334735,COMPLETED,Melanoma,BIOLOGICAL: DC Vaccine|BIOLOGICAL: Montanide Vaccine|BIOLOGICAL: Poly-ICLC,Nina Bhardwaj,"NYU Langone Health|Memorial Sloan Kettering Cancer Center|Ludwig Institute for Cancer Research|Melanoma Research Alliance|Oncovir, Inc.",INTERVENTIONAL,2020-07-15
NCT04342962,Tagraxofusp in Patients With CD123+ or With BPDCN-IPh-like Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT04342962,RECRUITING,Acute Myeloid Leukemia,DRUG: tagraxofusp,Gruppo Italiano Malattie EMatologiche dell'Adulto,,INTERVENTIONAL,2025-04
NCT04590261,Myeloid Cells in Patients With Covid-19 Pneumonia,https://clinicaltrials.gov/study/NCT04590261,NOT_YET_RECRUITING,Covid-19; SARS-Cov2,OTHER: Blood sampling|OTHER: Nasal Brushing,Assistance Publique - Hôpitaux de Paris,"Institut National de la Santé Et de la Recherche Médicale, France",INTERVENTIONAL,2025-12
NCT00065442,Provenge® (Sipuleucel-T) Active Cellular Immunotherapy Treatment of Metastatic Prostate Cancer After Failing Hormone Therapy,https://clinicaltrials.gov/study/NCT00065442,COMPLETED,Prostate Cancer,BIOLOGICAL: Sipuleucel-T|BIOLOGICAL: APC-Placebo,Dendreon,,INTERVENTIONAL,2009-01
NCT02496273,Phase I Trial of CEA Specific AAV-DC-CTL Treatment in Stage IV Gastric Cancer,https://clinicaltrials.gov/study/NCT02496273,ACTIVE_NOT_RECRUITING,Gastric Cancer,BIOLOGICAL: CTL,The First People's Hospital of Changzhou,,INTERVENTIONAL,2030-12
NCT06639074,"Folate Receptor Alpha Dendritic Cells (FRαDCs) or Placebo for the Treatment of Patients With Stage III or IV Ovarian, Fallopian Tube, or Primary Peritoneal Cancer, FAROUT Trial",https://clinicaltrials.gov/study/NCT06639074,NOT_YET_RECRUITING,Advanced Fallopian Tube Carcinoma|Advanced Fallopian Tube High Grade Serous Adenocarcinoma|Advanced Ovarian Carcinoma|Advanced Ovarian Carcinosarcoma|Advanced Ovarian Clear Cell Adenocarcinoma|Advanced Ovarian Endometrioid Adenocarcinoma|Advanced Ovarian High Grade Serous Adenocarcinoma|Advanced Primary Peritoneal Carcinoma|Advanced Primary Peritoneal High Grade Serous Adenocarcinoma|Fallopian Tube Carcinosarcoma|Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Adenocarcinoma|FIGO Stage III Ovarian Cancer 2014|FIGO Stage IV Ovarian Cancer 2014|Ovarian Mixed Cell Adenocarcinoma|Primary Peritoneal Carcinosarcoma|Primary Peritoneal Clear Cell Adenocarcinoma|Primary Peritoneal Endometrioid Adenocarcinoma,PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|BIOLOGICAL: Diphtheria Toxoid/Tetanus Toxoid/Acellular Pertussis Vaccine Adsorbed|PROCEDURE: Leukapheresis|PROCEDURE: Magnetic Resonance Imaging|BIOLOGICAL: Multi-epitope Folate Receptor Alpha-loaded Dendritic Cell Vaccine|DRUG: Placebo Administration|BIOLOGICAL: Tetanus and Diphtheria Toxoids Adsorbed,Mayo Clinic,,INTERVENTIONAL,2027-12-31
NCT02432846,Intratumoral Vaccination With Intuvax Pre-nephrectomy Followed by Sunitinib Post-nephrectomy vs Sunitinib Post-nephrectomy in Newly Diagnosed Metastatic Renal Cell Carcinoma (mRCC),https://clinicaltrials.gov/study/NCT02432846,COMPLETED,"Renal Cell Carcinoma, Metastatic",BIOLOGICAL: Intuvax (INN: ilixadencel)|DRUG: Sunitinib,Mendus,TFS Trial Form Support|Accelovance,INTERVENTIONAL,2021-01-31
NCT01823978,Safety Study of BPX-201 Dendritic Cell Vaccine Plus AP1903 in Metastatic Castrate Resistent Prostate Cancer,https://clinicaltrials.gov/study/NCT01823978,COMPLETED,Castrate Resistent Prostate Cancer,BIOLOGICAL: BPX-201 vaccine plus AP1903,Bellicum Pharmaceuticals,,INTERVENTIONAL,2017-09
NCT00075335,AMD 3100 (Mozobil Plerixafor) to Mobilize Stem Cells for Donation,https://clinicaltrials.gov/study/NCT00075335,COMPLETED,Healthy,DRUG: AMD3100 (Mozobil plerixafor),"National Heart, Lung, and Blood Institute (NHLBI)",,INTERVENTIONAL,2012-08
NCT01973322,"Vaccination With Autologous Dendritic Cells Loaded With Autologous Tumor Lysate or Homogenate Combined With Immunomodulating Radiotherapy and/or Preleukapheresis IFN-alfa in Patients With Metastatic Melanoma: a Randomized ""Proof-of-principle"" Phase II Study",https://clinicaltrials.gov/study/NCT01973322,ACTIVE_NOT_RECRUITING,Malignant Melanoma of Skin Stage III|Malignant Melanoma of Skin Stage IV,OTHER: arm 1: DC Vaccine + RT|OTHER: arm 2: DC Vaccine + IFN-alfa|OTHER: arm 3: both arm 1 and 2 + RT|BIOLOGICAL: arm 4: DC Vaccine,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,,INTERVENTIONAL,2024-09-30
NCT02159950,Sipuleucel-T With or Without Tasquinimod in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer,https://clinicaltrials.gov/study/NCT02159950,COMPLETED,Hormone-Resistant Prostate Cancer|Metastatic Prostate Carcinoma|Recurrent Prostate Carcinoma|Stage IV Prostate Cancer,OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Sipuleucel-T|DRUG: Tasquinimod,Roswell Park Cancer Institute,Active Biotech AB,INTERVENTIONAL,
NCT00454051,"Effect of Omalizumab on Expression of IgE Receptors in Adults With Severe, Inadequately Controlled Allergic Asthma",https://clinicaltrials.gov/study/NCT00454051,COMPLETED,Asthma,DRUG: Omalizumab|DRUG: placebo,Novartis Pharmaceuticals,,INTERVENTIONAL,2008-03
NCT00003977,Vaccine Therapy in Treating Patients With Recurrent or Persistent Cervical Cancer,https://clinicaltrials.gov/study/NCT00003977,COMPLETED,Cervical Cancer,BIOLOGICAL: human papillomavirus 16 E7 peptide|PROCEDURE: in vitro-treated peripheral blood stem cell transplantation,"Steward St. Elizabeth's Medical Center of Boston, Inc.",National Cancer Institute (NCI),INTERVENTIONAL,
NCT04373031,"Pembrolizumab, IRX-2, and Chemotherapy in Triple Negative Breast Cancer",https://clinicaltrials.gov/study/NCT04373031,ACTIVE_NOT_RECRUITING,Breast Cancer|Breast Neoplasms,DRUG: Pembrolizumab|DRUG: IRX 2,Providence Health & Services,"Merck Sharp & Dohme LLC|Brooklyn ImmunoTherapeutics, LLC",INTERVENTIONAL,2025-06
NCT00626860,The Use of Dendritic Cell/Tumor Hybridomas as a Novel Tumor Vaccine in Patients With Advance Melanoma,https://clinicaltrials.gov/study/NCT00626860,COMPLETED,Metastatic Melanoma,BIOLOGICAL: DC/tumor fusion vaccine,Beth Israel Deaconess Medical Center,"Genzyme, a Sanofi Company",INTERVENTIONAL,2008-09-10
NCT02252055,The ONE Study ATDC Trial,https://clinicaltrials.gov/study/NCT02252055,COMPLETED,"Renal Failure, End Stage",BIOLOGICAL: ATDC_Nantes,Nantes University Hospital,,INTERVENTIONAL,2018-11-14
NCT04999943,Hypomemylating Agents Combination With eDC Therapy for Elderly Patients With Myelodysplastic Syndrome,https://clinicaltrials.gov/study/NCT04999943,RECRUITING,Myelodysplastic Syndromes|Dendritic Cell|Hypomethylating Agents|Immunotherapy,BIOLOGICAL: DC vaccine,Affiliated Hospital to Academy of Military Medical Sciences,,INTERVENTIONAL,2026-07-01
NCT05714306,PEP-DC and OC-DC Vaccine in High Grade Serous Ovarian Carcinoma,https://clinicaltrials.gov/study/NCT05714306,NOT_YET_RECRUITING,Ovarian Carcinoma,BIOLOGICAL: PEP-DC1|BIOLOGICAL: OC-DC|BIOLOGICAL: PEP-DC2|DRUG: Low dose cyclophosphamide,Centre Hospitalier Universitaire Vaudois,,INTERVENTIONAL,2030-03
